Season,Round,Race Name,Date,Time (UTC),Circuit,Location,Country
1950,1,British Grand Prix,1950-05-13,Unknown,Silverstone Circuit,Silverstone,UK
1950,2,Monaco Grand Prix,1950-05-21,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1950,3,Indianapolis 500,1950-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1950,4,Swiss Grand Prix,1950-06-04,Unknown,Circuit Bremgarten,Bern,Switzerland
1950,5,Belgian Grand Prix,1950-06-18,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1950,6,French Grand Prix,1950-07-02,Unknown,Reims-Gueux,Reims,France
1950,7,Italian Grand Prix,1950-09-03,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1951,1,Swiss Grand Prix,1951-05-27,Unknown,Circuit Bremgarten,Bern,Switzerland
1951,2,Indianapolis 500,1951-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1951,3,Belgian Grand Prix,1951-06-17,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1951,4,French Grand Prix,1951-07-01,Unknown,Reims-Gueux,Reims,France
1951,5,British Grand Prix,1951-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1951,6,German Grand Prix,1951-07-29,Unknown,Nürburgring,Nürburg,Germany
1951,7,Italian Grand Prix,1951-09-16,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1951,8,Spanish Grand Prix,1951-10-28,Unknown,Circuit de Pedralbes,Barcelona,Spain
1952,1,Swiss Grand Prix,1952-05-18,Unknown,Circuit Bremgarten,Bern,Switzerland
1952,2,Indianapolis 500,1952-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1952,3,Belgian Grand Prix,1952-06-22,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1952,4,French Grand Prix,1952-07-06,Unknown,Rouen-Les-Essarts,Rouen,France
1952,5,British Grand Prix,1952-07-19,Unknown,Silverstone Circuit,Silverstone,UK
1952,6,German Grand Prix,1952-08-03,Unknown,Nürburgring,Nürburg,Germany
1952,7,Dutch Grand Prix,1952-08-17,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1952,8,Italian Grand Prix,1952-09-07,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1953,1,Argentine Grand Prix,1953-01-18,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1953,2,Indianapolis 500,1953-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1953,3,Dutch Grand Prix,1953-06-07,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1953,4,Belgian Grand Prix,1953-06-21,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1953,5,French Grand Prix,1953-07-05,Unknown,Reims-Gueux,Reims,France
1953,6,British Grand Prix,1953-07-18,Unknown,Silverstone Circuit,Silverstone,UK
1953,7,German Grand Prix,1953-08-02,Unknown,Nürburgring,Nürburg,Germany
1953,8,Swiss Grand Prix,1953-08-23,Unknown,Circuit Bremgarten,Bern,Switzerland
1953,9,Italian Grand Prix,1953-09-13,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1954,1,Argentine Grand Prix,1954-01-17,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1954,2,Indianapolis 500,1954-05-31,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1954,3,Belgian Grand Prix,1954-06-20,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1954,4,French Grand Prix,1954-07-04,Unknown,Reims-Gueux,Reims,France
1954,5,British Grand Prix,1954-07-17,Unknown,Silverstone Circuit,Silverstone,UK
1954,6,German Grand Prix,1954-08-01,Unknown,Nürburgring,Nürburg,Germany
1954,7,Swiss Grand Prix,1954-08-22,Unknown,Circuit Bremgarten,Bern,Switzerland
1954,8,Italian Grand Prix,1954-09-05,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1954,9,Spanish Grand Prix,1954-10-24,Unknown,Circuit de Pedralbes,Barcelona,Spain
1955,1,Argentine Grand Prix,1955-01-16,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1955,2,Monaco Grand Prix,1955-05-22,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1955,3,Indianapolis 500,1955-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1955,4,Belgian Grand Prix,1955-06-05,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1955,5,Dutch Grand Prix,1955-06-19,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1955,6,British Grand Prix,1955-07-16,Unknown,Aintree,Liverpool,UK
1955,7,Italian Grand Prix,1955-09-11,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1956,1,Argentine Grand Prix,1956-01-22,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1956,2,Monaco Grand Prix,1956-05-13,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1956,3,Indianapolis 500,1956-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1956,4,Belgian Grand Prix,1956-06-03,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1956,5,French Grand Prix,1956-07-01,Unknown,Reims-Gueux,Reims,France
1956,6,British Grand Prix,1956-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1956,7,German Grand Prix,1956-08-05,Unknown,Nürburgring,Nürburg,Germany
1956,8,Italian Grand Prix,1956-09-02,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1957,1,Argentine Grand Prix,1957-01-13,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1957,2,Monaco Grand Prix,1957-05-19,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1957,3,Indianapolis 500,1957-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1957,4,French Grand Prix,1957-07-07,Unknown,Rouen-Les-Essarts,Rouen,France
1957,5,British Grand Prix,1957-07-20,Unknown,Aintree,Liverpool,UK
1957,6,German Grand Prix,1957-08-04,Unknown,Nürburgring,Nürburg,Germany
1957,7,Pescara Grand Prix,1957-08-18,Unknown,Pescara Circuit,Pescara,Italy
1957,8,Italian Grand Prix,1957-09-08,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1958,1,Argentine Grand Prix,1958-01-19,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1958,2,Monaco Grand Prix,1958-05-18,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1958,3,Dutch Grand Prix,1958-05-26,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1958,4,Indianapolis 500,1958-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1958,5,Belgian Grand Prix,1958-06-15,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1958,6,French Grand Prix,1958-07-06,Unknown,Reims-Gueux,Reims,France
1958,7,British Grand Prix,1958-07-19,Unknown,Silverstone Circuit,Silverstone,UK
1958,8,German Grand Prix,1958-08-03,Unknown,Nürburgring,Nürburg,Germany
1958,9,Portuguese Grand Prix,1958-08-24,Unknown,Circuito da Boavista,Oporto,Portugal
1958,10,Italian Grand Prix,1958-09-07,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1958,11,Moroccan Grand Prix,1958-10-19,Unknown,Ain Diab,Casablanca,Morocco
1959,1,Monaco Grand Prix,1959-05-10,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1959,2,Indianapolis 500,1959-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1959,3,Dutch Grand Prix,1959-05-31,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1959,4,French Grand Prix,1959-07-05,Unknown,Reims-Gueux,Reims,France
1959,5,British Grand Prix,1959-07-18,Unknown,Aintree,Liverpool,UK
1959,6,German Grand Prix,1959-08-02,Unknown,AVUS,Berlin,Germany
1959,7,Portuguese Grand Prix,1959-08-23,Unknown,Monsanto Park Circuit,Lisbon,Portugal
1959,8,Italian Grand Prix,1959-09-13,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1959,9,United States Grand Prix,1959-12-12,Unknown,Sebring International Raceway,Florida,USA
1960,1,Argentine Grand Prix,1960-02-07,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1960,2,Monaco Grand Prix,1960-05-29,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1960,3,Indianapolis 500,1960-05-30,Unknown,Indianapolis Motor Speedway,Indianapolis,USA
1960,4,Dutch Grand Prix,1960-06-06,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1960,5,Belgian Grand Prix,1960-06-19,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1960,6,French Grand Prix,1960-07-03,Unknown,Reims-Gueux,Reims,France
1960,7,British Grand Prix,1960-07-16,Unknown,Silverstone Circuit,Silverstone,UK
1960,8,Portuguese Grand Prix,1960-08-14,Unknown,Circuito da Boavista,Oporto,Portugal
1960,9,Italian Grand Prix,1960-09-04,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1960,10,United States Grand Prix,1960-11-20,Unknown,Riverside International Raceway,California,USA
1961,1,Monaco Grand Prix,1961-05-14,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1961,2,Dutch Grand Prix,1961-05-22,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1961,3,Belgian Grand Prix,1961-06-18,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1961,4,French Grand Prix,1961-07-02,Unknown,Reims-Gueux,Reims,France
1961,5,British Grand Prix,1961-07-15,Unknown,Aintree,Liverpool,UK
1961,6,German Grand Prix,1961-08-06,Unknown,Nürburgring,Nürburg,Germany
1961,7,Italian Grand Prix,1961-09-10,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1961,8,United States Grand Prix,1961-10-08,Unknown,Watkins Glen,New York State,USA
1962,1,Dutch Grand Prix,1962-05-20,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1962,2,Monaco Grand Prix,1962-06-03,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1962,3,Belgian Grand Prix,1962-06-17,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1962,4,French Grand Prix,1962-07-08,Unknown,Rouen-Les-Essarts,Rouen,France
1962,5,British Grand Prix,1962-07-21,Unknown,Aintree,Liverpool,UK
1962,6,German Grand Prix,1962-08-05,Unknown,Nürburgring,Nürburg,Germany
1962,7,Italian Grand Prix,1962-09-16,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1962,8,United States Grand Prix,1962-10-07,Unknown,Watkins Glen,New York State,USA
1962,9,South African Grand Prix,1962-12-29,Unknown,Prince George Circuit,Eastern Cape Province,South Africa
1963,1,Monaco Grand Prix,1963-05-26,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1963,2,Belgian Grand Prix,1963-06-09,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1963,3,Dutch Grand Prix,1963-06-23,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1963,4,French Grand Prix,1963-06-30,Unknown,Reims-Gueux,Reims,France
1963,5,British Grand Prix,1963-07-20,Unknown,Silverstone Circuit,Silverstone,UK
1963,6,German Grand Prix,1963-08-04,Unknown,Nürburgring,Nürburg,Germany
1963,7,Italian Grand Prix,1963-09-08,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1963,8,United States Grand Prix,1963-10-06,Unknown,Watkins Glen,New York State,USA
1963,9,Mexican Grand Prix,1963-10-27,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1963,10,South African Grand Prix,1963-12-28,Unknown,Prince George Circuit,Eastern Cape Province,South Africa
1964,1,Monaco Grand Prix,1964-05-10,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1964,2,Dutch Grand Prix,1964-05-24,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1964,3,Belgian Grand Prix,1964-06-14,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1964,4,French Grand Prix,1964-06-28,Unknown,Rouen-Les-Essarts,Rouen,France
1964,5,British Grand Prix,1964-07-11,Unknown,Brands Hatch,Kent,UK
1964,6,German Grand Prix,1964-08-02,Unknown,Nürburgring,Nürburg,Germany
1964,7,Austrian Grand Prix,1964-08-23,Unknown,Zeltweg,Styria,Austria
1964,8,Italian Grand Prix,1964-09-06,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1964,9,United States Grand Prix,1964-10-04,Unknown,Watkins Glen,New York State,USA
1964,10,Mexican Grand Prix,1964-10-25,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1965,1,South African Grand Prix,1965-01-01,Unknown,Prince George Circuit,Eastern Cape Province,South Africa
1965,2,Monaco Grand Prix,1965-05-30,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1965,3,Belgian Grand Prix,1965-06-13,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1965,4,French Grand Prix,1965-06-27,Unknown,Charade Circuit,Clermont-Ferrand,France
1965,5,British Grand Prix,1965-07-10,Unknown,Silverstone Circuit,Silverstone,UK
1965,6,Dutch Grand Prix,1965-07-18,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1965,7,German Grand Prix,1965-08-01,Unknown,Nürburgring,Nürburg,Germany
1965,8,Italian Grand Prix,1965-09-12,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1965,9,United States Grand Prix,1965-10-03,Unknown,Watkins Glen,New York State,USA
1965,10,Mexican Grand Prix,1965-10-24,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1966,1,Monaco Grand Prix,1966-05-22,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1966,2,Belgian Grand Prix,1966-06-12,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1966,3,French Grand Prix,1966-07-03,Unknown,Reims-Gueux,Reims,France
1966,4,British Grand Prix,1966-07-16,Unknown,Brands Hatch,Kent,UK
1966,5,Dutch Grand Prix,1966-07-24,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1966,6,German Grand Prix,1966-08-07,Unknown,Nürburgring,Nürburg,Germany
1966,7,Italian Grand Prix,1966-09-04,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1966,8,United States Grand Prix,1966-10-02,Unknown,Watkins Glen,New York State,USA
1966,9,Mexican Grand Prix,1966-10-23,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1967,1,South African Grand Prix,1967-01-02,Unknown,Kyalami,Midrand,South Africa
1967,2,Monaco Grand Prix,1967-05-07,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1967,3,Dutch Grand Prix,1967-06-04,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1967,4,Belgian Grand Prix,1967-06-18,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1967,5,French Grand Prix,1967-07-02,Unknown,Le Mans,Le Mans,France
1967,6,British Grand Prix,1967-07-15,Unknown,Silverstone Circuit,Silverstone,UK
1967,7,German Grand Prix,1967-08-06,Unknown,Nürburgring,Nürburg,Germany
1967,8,Canadian Grand Prix,1967-08-27,Unknown,Mosport International Raceway,Ontario,Canada
1967,9,Italian Grand Prix,1967-09-10,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1967,10,United States Grand Prix,1967-10-01,Unknown,Watkins Glen,New York State,USA
1967,11,Mexican Grand Prix,1967-10-22,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1968,1,South African Grand Prix,1968-01-01,Unknown,Kyalami,Midrand,South Africa
1968,2,Spanish Grand Prix,1968-05-12,Unknown,Jarama,Madrid,Spain
1968,3,Monaco Grand Prix,1968-05-26,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1968,4,Belgian Grand Prix,1968-06-09,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1968,5,Dutch Grand Prix,1968-06-23,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1968,6,French Grand Prix,1968-07-07,Unknown,Rouen-Les-Essarts,Rouen,France
1968,7,British Grand Prix,1968-07-20,Unknown,Brands Hatch,Kent,UK
1968,8,German Grand Prix,1968-08-04,Unknown,Nürburgring,Nürburg,Germany
1968,9,Italian Grand Prix,1968-09-08,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1968,10,Canadian Grand Prix,1968-09-22,Unknown,Circuit Mont-Tremblant,Quebec,Canada
1968,11,United States Grand Prix,1968-10-06,Unknown,Watkins Glen,New York State,USA
1968,12,Mexican Grand Prix,1968-11-03,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1969,1,South African Grand Prix,1969-03-01,Unknown,Kyalami,Midrand,South Africa
1969,2,Spanish Grand Prix,1969-05-04,Unknown,Montjuïc,Barcelona,Spain
1969,3,Monaco Grand Prix,1969-05-18,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1969,4,Dutch Grand Prix,1969-06-21,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1969,5,French Grand Prix,1969-07-06,Unknown,Charade Circuit,Clermont-Ferrand,France
1969,6,British Grand Prix,1969-07-19,Unknown,Silverstone Circuit,Silverstone,UK
1969,7,German Grand Prix,1969-08-03,Unknown,Nürburgring,Nürburg,Germany
1969,8,Italian Grand Prix,1969-09-07,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1969,9,Canadian Grand Prix,1969-09-20,Unknown,Mosport International Raceway,Ontario,Canada
1969,10,United States Grand Prix,1969-10-05,Unknown,Watkins Glen,New York State,USA
1969,11,Mexican Grand Prix,1969-10-19,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1970,1,South African Grand Prix,1970-03-07,Unknown,Kyalami,Midrand,South Africa
1970,2,Spanish Grand Prix,1970-04-19,Unknown,Jarama,Madrid,Spain
1970,3,Monaco Grand Prix,1970-05-10,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1970,4,Belgian Grand Prix,1970-06-07,Unknown,Circuit de Spa-Francorchamps,Spa,Belgium
1970,5,Dutch Grand Prix,1970-06-21,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1970,6,French Grand Prix,1970-07-05,Unknown,Charade Circuit,Clermont-Ferrand,France
1970,7,British Grand Prix,1970-07-18,Unknown,Brands Hatch,Kent,UK
1970,8,German Grand Prix,1970-08-02,Unknown,Hockenheimring,Hockenheim,Germany
1970,9,Austrian Grand Prix,1970-08-16,Unknown,Red Bull Ring,Spielberg,Austria
1970,10,Italian Grand Prix,1970-09-06,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1970,11,Canadian Grand Prix,1970-09-20,Unknown,Circuit Mont-Tremblant,Quebec,Canada
1970,12,United States Grand Prix,1970-10-04,Unknown,Watkins Glen,New York State,USA
1970,13,Mexican Grand Prix,1970-10-25,Unknown,Autódromo Hermanos Rodríguez,Mexico City,Mexico
1971,1,South African Grand Prix,1971-03-06,Unknown,Kyalami,Midrand,South Africa
1971,2,Spanish Grand Prix,1971-04-18,Unknown,Montjuïc,Barcelona,Spain
1971,3,Monaco Grand Prix,1971-05-23,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1971,4,Dutch Grand Prix,1971-06-20,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1971,5,French Grand Prix,1971-07-04,Unknown,Circuit Paul Ricard,Le Castellet,France
1971,6,British Grand Prix,1971-07-17,Unknown,Silverstone Circuit,Silverstone,UK
1971,7,German Grand Prix,1971-08-01,Unknown,Nürburgring,Nürburg,Germany
1971,8,Austrian Grand Prix,1971-08-15,Unknown,Red Bull Ring,Spielberg,Austria
1971,9,Italian Grand Prix,1971-09-05,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1971,10,Canadian Grand Prix,1971-09-19,Unknown,Mosport International Raceway,Ontario,Canada
1971,11,United States Grand Prix,1971-10-03,Unknown,Watkins Glen,New York State,USA
1972,1,Argentine Grand Prix,1972-01-23,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1972,2,South African Grand Prix,1972-03-04,Unknown,Kyalami,Midrand,South Africa
1972,3,Spanish Grand Prix,1972-05-01,Unknown,Jarama,Madrid,Spain
1972,4,Monaco Grand Prix,1972-05-14,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1972,5,Belgian Grand Prix,1972-06-04,Unknown,Nivelles-Baulers,Brussels,Belgium
1972,6,French Grand Prix,1972-07-02,Unknown,Charade Circuit,Clermont-Ferrand,France
1972,7,British Grand Prix,1972-07-15,Unknown,Brands Hatch,Kent,UK
1972,8,German Grand Prix,1972-07-30,Unknown,Nürburgring,Nürburg,Germany
1972,9,Austrian Grand Prix,1972-08-13,Unknown,Red Bull Ring,Spielberg,Austria
1972,10,Italian Grand Prix,1972-09-10,Unknown,Autodromo Nazionale di Monza,Monza,Italy
1972,11,Canadian Grand Prix,1972-09-24,Unknown,Mosport International Raceway,Ontario,Canada
1972,12,United States Grand Prix,1972-10-08,Unknown,Watkins Glen,New York State,USA
1973,1,Argentine Grand Prix,1973-01-28,Unknown,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
1973,2,Brazilian Grand Prix,1973-02-11,Unknown,Autódromo José Carlos Pace,São Paulo,Brazil
1973,3,South African Grand Prix,1973-03-03,Unknown,Kyalami,Midrand,South Africa
1973,4,Spanish Grand Prix,1973-04-29,Unknown,Montjuïc,Barcelona,Spain
1973,5,Belgian Grand Prix,1973-05-20,Unknown,Zolder,Heusden-Zolder,Belgium
1973,6,Monaco Grand Prix,1973-06-03,Unknown,Circuit de Monaco,Monte-Carlo,Monaco
1973,7,Swedish Grand Prix,1973-06-17,Unknown,Scandinavian Raceway,Anderstorp,Sweden
1973,8,French Grand Prix,1973-07-01,Unknown,Circuit Paul Ricard,Le Castellet,France
1973,9,British Grand Prix,1973-07-14,Unknown,Silverstone Circuit,Silverstone,UK
1973,10,Dutch Grand Prix,1973-07-29,Unknown,Circuit Park Zandvoort,Zandvoort,Netherlands
1973,11,German Grand Prix,1973-08-05,Unknown,Nürburgring,Nürburg,Germany
1973,12,Austrian Grand Prix,1973-08-19,Unknown,Red Bull Ring,Spielberg,Austria
1973,13,Italian Grand Prix,1973-09-09,Unknown,Autodromo Nazionale di Monza,Monza,Italy
