Season,Round,Race Name,Date,Time (UTC),Circuit,Location,Country
2014,10,German Grand Prix,2014-07-20,12:00:00Z,Hockenheimring,Hockenheim,Germany
2014,11,Hungarian Grand Prix,2014-07-27,12:00:00Z,Hungaroring,Budapest,Hungary
2014,12,Belgian Grand Prix,2014-08-24,12:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2014,13,Italian Grand Prix,2014-09-07,12:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2014,14,Singapore Grand Prix,2014-09-21,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2014,15,Japanese Grand Prix,2014-10-05,06:00:00Z,Suzuka Circuit,Suzuka,Japan
2014,16,Russian Grand Prix,2014-10-12,11:00:00Z,Sochi Autodrom,Sochi,Russia
2014,17,United States Grand Prix,2014-11-02,20:00:00Z,Circuit of the Americas,Austin,USA
2014,18,Brazilian Grand Prix,2014-11-09,16:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2014,19,Abu Dhabi Grand Prix,2014-11-23,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2015,1,Australian Grand Prix,2015-03-15,05:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2015,2,Malaysian Grand Prix,2015-03-29,07:00:00Z,Sepang International Circuit,Kuala Lumpur,Malaysia
2015,3,Chinese Grand Prix,2015-04-12,06:00:00Z,Shanghai International Circuit,Shanghai,China
2015,4,Bahrain Grand Prix,2015-04-19,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2015,5,Spanish Grand Prix,2015-05-10,12:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2015,6,Monaco Grand Prix,2015-05-24,12:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2015,7,Canadian Grand Prix,2015-06-07,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2015,8,Austrian Grand Prix,2015-06-21,12:00:00Z,Red Bull Ring,Spielberg,Austria
2015,9,British Grand Prix,2015-07-05,12:00:00Z,Silverstone Circuit,Silverstone,UK
2015,10,Hungarian Grand Prix,2015-07-26,12:00:00Z,Hungaroring,Budapest,Hungary
2015,11,Belgian Grand Prix,2015-08-23,12:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2015,12,Italian Grand Prix,2015-09-06,12:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2015,13,Singapore Grand Prix,2015-09-20,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2015,14,Japanese Grand Prix,2015-09-27,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2015,15,Russian Grand Prix,2015-10-11,11:00:00Z,Sochi Autodrom,Sochi,Russia
2015,16,United States Grand Prix,2015-10-25,19:00:00Z,Circuit of the Americas,Austin,USA
2015,17,Mexican Grand Prix,2015-11-01,19:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2015,18,Brazilian Grand Prix,2015-11-15,16:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2015,19,Abu Dhabi Grand Prix,2015-11-29,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2016,1,Australian Grand Prix,2016-03-20,05:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2016,2,Bahrain Grand Prix,2016-04-03,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2016,3,Chinese Grand Prix,2016-04-17,06:00:00Z,Shanghai International Circuit,Shanghai,China
2016,4,Russian Grand Prix,2016-05-01,12:00:00Z,Sochi Autodrom,Sochi,Russia
2016,5,Spanish Grand Prix,2016-05-15,12:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2016,6,Monaco Grand Prix,2016-05-29,12:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2016,7,Canadian Grand Prix,2016-06-12,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2016,8,European Grand Prix,2016-06-19,13:00:00Z,Baku City Circuit,Baku,Azerbaijan
2016,9,Austrian Grand Prix,2016-07-03,12:00:00Z,Red Bull Ring,Spielberg,Austria
2016,10,British Grand Prix,2016-07-10,12:00:00Z,Silverstone Circuit,Silverstone,UK
2016,11,Hungarian Grand Prix,2016-07-24,12:00:00Z,Hungaroring,Budapest,Hungary
2016,12,German Grand Prix,2016-07-31,12:00:00Z,Hockenheimring,Hockenheim,Germany
2016,13,Belgian Grand Prix,2016-08-28,12:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2016,14,Italian Grand Prix,2016-09-04,12:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2016,15,Singapore Grand Prix,2016-09-18,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2016,16,Malaysian Grand Prix,2016-10-02,07:00:00Z,Sepang International Circuit,Kuala Lumpur,Malaysia
2016,17,Japanese Grand Prix,2016-10-09,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2016,18,United States Grand Prix,2016-10-23,19:00:00Z,Circuit of the Americas,Austin,USA
2016,19,Mexican Grand Prix,2016-10-30,19:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2016,20,Brazilian Grand Prix,2016-11-13,16:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2016,21,Abu Dhabi Grand Prix,2016-11-27,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2017,1,Australian Grand Prix,2017-03-26,05:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2017,2,Chinese Grand Prix,2017-04-09,06:00:00Z,Shanghai International Circuit,Shanghai,China
2017,3,Bahrain Grand Prix,2017-04-16,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2017,4,Russian Grand Prix,2017-04-30,12:00:00Z,Sochi Autodrom,Sochi,Russia
2017,5,Spanish Grand Prix,2017-05-14,12:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2017,6,Monaco Grand Prix,2017-05-28,12:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2017,7,Canadian Grand Prix,2017-06-11,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2017,8,Azerbaijan Grand Prix,2017-06-25,13:00:00Z,Baku City Circuit,Baku,Azerbaijan
2017,9,Austrian Grand Prix,2017-07-09,12:00:00Z,Red Bull Ring,Spielberg,Austria
2017,10,British Grand Prix,2017-07-16,12:00:00Z,Silverstone Circuit,Silverstone,UK
2017,11,Hungarian Grand Prix,2017-07-30,12:00:00Z,Hungaroring,Budapest,Hungary
2017,12,Belgian Grand Prix,2017-08-27,12:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2017,13,Italian Grand Prix,2017-09-03,12:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2017,14,Singapore Grand Prix,2017-09-17,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2017,15,Malaysian Grand Prix,2017-10-01,07:00:00Z,Sepang International Circuit,Kuala Lumpur,Malaysia
2017,16,Japanese Grand Prix,2017-10-08,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2017,17,United States Grand Prix,2017-10-22,19:00:00Z,Circuit of the Americas,Austin,USA
2017,18,Mexican Grand Prix,2017-10-29,19:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2017,19,Brazilian Grand Prix,2017-11-12,16:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2017,20,Abu Dhabi Grand Prix,2017-11-26,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2018,1,Australian Grand Prix,2018-03-25,05:10:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2018,2,Bahrain Grand Prix,2018-04-08,15:10:00Z,Bahrain International Circuit,Sakhir,Bahrain
2018,3,Chinese Grand Prix,2018-04-15,06:10:00Z,Shanghai International Circuit,Shanghai,China
2018,4,Azerbaijan Grand Prix,2018-04-29,12:10:00Z,Baku City Circuit,Baku,Azerbaijan
2018,5,Spanish Grand Prix,2018-05-13,13:10:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2018,6,Monaco Grand Prix,2018-05-27,13:10:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2018,7,Canadian Grand Prix,2018-06-10,18:10:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2018,8,French Grand Prix,2018-06-24,14:10:00Z,Circuit Paul Ricard,Le Castellet,France
2018,9,Austrian Grand Prix,2018-07-01,13:10:00Z,Red Bull Ring,Spielberg,Austria
2018,10,British Grand Prix,2018-07-08,13:10:00Z,Silverstone Circuit,Silverstone,UK
2018,11,German Grand Prix,2018-07-22,13:10:00Z,Hockenheimring,Hockenheim,Germany
2018,12,Hungarian Grand Prix,2018-07-29,13:10:00Z,Hungaroring,Budapest,Hungary
2018,13,Belgian Grand Prix,2018-08-26,13:10:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2018,14,Italian Grand Prix,2018-09-02,13:10:00Z,Autodromo Nazionale di Monza,Monza,Italy
2018,15,Singapore Grand Prix,2018-09-16,12:10:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2018,16,Russian Grand Prix,2018-09-30,11:10:00Z,Sochi Autodrom,Sochi,Russia
2018,17,Japanese Grand Prix,2018-10-07,05:10:00Z,Suzuka Circuit,Suzuka,Japan
2018,18,United States Grand Prix,2018-10-21,18:10:00Z,Circuit of the Americas,Austin,USA
2018,19,Mexican Grand Prix,2018-10-28,19:10:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2018,20,Brazilian Grand Prix,2018-11-11,17:10:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2018,21,Abu Dhabi Grand Prix,2018-11-25,13:10:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2019,1,Australian Grand Prix,2019-03-17,05:10:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2019,2,Bahrain Grand Prix,2019-03-31,15:10:00Z,Bahrain International Circuit,Sakhir,Bahrain
2019,3,Chinese Grand Prix,2019-04-14,06:10:00Z,Shanghai International Circuit,Shanghai,China
2019,4,Azerbaijan Grand Prix,2019-04-28,12:10:00Z,Baku City Circuit,Baku,Azerbaijan
2019,5,Spanish Grand Prix,2019-05-12,13:10:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2019,6,Monaco Grand Prix,2019-05-26,13:10:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2019,7,Canadian Grand Prix,2019-06-09,18:10:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2019,8,French Grand Prix,2019-06-23,13:10:00Z,Circuit Paul Ricard,Le Castellet,France
2019,9,Austrian Grand Prix,2019-06-30,13:10:00Z,Red Bull Ring,Spielberg,Austria
2019,10,British Grand Prix,2019-07-14,13:10:00Z,Silverstone Circuit,Silverstone,UK
2019,11,German Grand Prix,2019-07-28,13:10:00Z,Hockenheimring,Hockenheim,Germany
2019,12,Hungarian Grand Prix,2019-08-04,13:10:00Z,Hungaroring,Budapest,Hungary
2019,13,Belgian Grand Prix,2019-09-01,13:10:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2019,14,Italian Grand Prix,2019-09-08,13:10:00Z,Autodromo Nazionale di Monza,Monza,Italy
2019,15,Singapore Grand Prix,2019-09-22,12:10:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2019,16,Russian Grand Prix,2019-09-29,11:10:00Z,Sochi Autodrom,Sochi,Russia
2019,17,Japanese Grand Prix,2019-10-13,05:10:00Z,Suzuka Circuit,Suzuka,Japan
2019,18,Mexican Grand Prix,2019-10-27,19:10:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2019,19,United States Grand Prix,2019-11-03,19:10:00Z,Circuit of the Americas,Austin,USA
2019,20,Brazilian Grand Prix,2019-11-17,17:10:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2019,21,Abu Dhabi Grand Prix,2019-12-01,13:10:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2020,1,Austrian Grand Prix,2020-07-05,13:10:00Z,Red Bull Ring,Spielberg,Austria
2020,2,Styrian Grand Prix,2020-07-12,13:10:00Z,Red Bull Ring,Spielberg,Austria
2020,3,Hungarian Grand Prix,2020-07-19,13:10:00Z,Hungaroring,Budapest,Hungary
2020,4,British Grand Prix,2020-08-02,13:10:00Z,Silverstone Circuit,Silverstone,UK
2020,5,70th Anniversary Grand Prix,2020-08-09,13:10:00Z,Silverstone Circuit,Silverstone,UK
2020,6,Spanish Grand Prix,2020-08-16,13:10:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2020,7,Belgian Grand Prix,2020-08-30,13:10:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2020,8,Italian Grand Prix,2020-09-06,13:10:00Z,Autodromo Nazionale di Monza,Monza,Italy
2020,9,Tuscan Grand Prix,2020-09-13,13:10:00Z,Autodromo Internazionale del Mugello,Mugello,Italy
2020,10,Russian Grand Prix,2020-09-27,11:10:00Z,Sochi Autodrom,Sochi,Russia
2020,11,Eifel Grand Prix,2020-10-11,13:10:00Z,Nürburgring,Nürburg,Germany
2020,12,Portuguese Grand Prix,2020-10-25,12:10:00Z,Autódromo Internacional do Algarve,Portimão,Portugal
2020,13,Emilia Romagna Grand Prix,2020-11-01,12:10:00Z,Autodromo Enzo e Dino Ferrari,Imola,Italy
2020,14,Turkish Grand Prix,2020-11-15,10:10:00Z,Istanbul Park,Istanbul,Turkey
2020,15,Bahrain Grand Prix,2020-11-29,14:10:00Z,Bahrain International Circuit,Sakhir,Bahrain
2020,16,Sakhir Grand Prix,2020-12-06,17:10:00Z,Bahrain International Circuit,Sakhir,Bahrain
2020,17,Abu Dhabi Grand Prix,2020-12-13,13:10:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2021,1,Bahrain Grand Prix,2021-03-28,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2021,2,Emilia Romagna Grand Prix,2021-04-18,13:00:00Z,Autodromo Enzo e Dino Ferrari,Imola,Italy
2021,3,Portuguese Grand Prix,2021-05-02,14:00:00Z,Autódromo Internacional do Algarve,Portimão,Portugal
2021,4,Spanish Grand Prix,2021-05-09,13:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2021,5,Monaco Grand Prix,2021-05-23,13:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2021,6,Azerbaijan Grand Prix,2021-06-06,12:00:00Z,Baku City Circuit,Baku,Azerbaijan
2021,7,French Grand Prix,2021-06-20,13:00:00Z,Circuit Paul Ricard,Le Castellet,France
2021,8,Styrian Grand Prix,2021-06-27,13:00:00Z,Red Bull Ring,Spielberg,Austria
2021,9,Austrian Grand Prix,2021-07-04,13:00:00Z,Red Bull Ring,Spielberg,Austria
2021,10,British Grand Prix,2021-07-18,14:00:00Z,Silverstone Circuit,Silverstone,UK
2021,11,Hungarian Grand Prix,2021-08-01,13:00:00Z,Hungaroring,Budapest,Hungary
2021,12,Belgian Grand Prix,2021-08-29,13:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2021,13,Dutch Grand Prix,2021-09-05,13:00:00Z,Circuit Park Zandvoort,Zandvoort,Netherlands
2021,14,Italian Grand Prix,2021-09-12,13:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2021,15,Russian Grand Prix,2021-09-26,12:00:00Z,Sochi Autodrom,Sochi,Russia
2021,16,Turkish Grand Prix,2021-10-10,12:00:00Z,Istanbul Park,Istanbul,Turkey
2021,17,United States Grand Prix,2021-10-24,19:00:00Z,Circuit of the Americas,Austin,USA
2021,18,Mexico City Grand Prix,2021-11-07,19:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2021,19,São Paulo Grand Prix,2021-11-14,17:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2021,20,Qatar Grand Prix,2021-11-21,14:00:00Z,Losail International Circuit,Al Daayen,Qatar
2021,21,Saudi Arabian Grand Prix,2021-12-05,17:30:00Z,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
2021,22,Abu Dhabi Grand Prix,2021-12-12,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2022,1,Bahrain Grand Prix,2022-03-20,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2022,2,Saudi Arabian Grand Prix,2022-03-27,17:00:00Z,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
2022,3,Australian Grand Prix,2022-04-10,05:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2022,4,Emilia Romagna Grand Prix,2022-04-24,13:00:00Z,Autodromo Enzo e Dino Ferrari,Imola,Italy
2022,5,Miami Grand Prix,2022-05-08,19:30:00Z,Miami International Autodrome,Miami,USA
2022,6,Spanish Grand Prix,2022-05-22,13:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2022,7,Monaco Grand Prix,2022-05-29,13:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2022,8,Azerbaijan Grand Prix,2022-06-12,11:00:00Z,Baku City Circuit,Baku,Azerbaijan
2022,9,Canadian Grand Prix,2022-06-19,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2022,10,British Grand Prix,2022-07-03,14:00:00Z,Silverstone Circuit,Silverstone,UK
2022,11,Austrian Grand Prix,2022-07-10,13:00:00Z,Red Bull Ring,Spielberg,Austria
2022,12,French Grand Prix,2022-07-24,13:00:00Z,Circuit Paul Ricard,Le Castellet,France
2022,13,Hungarian Grand Prix,2022-07-31,13:00:00Z,Hungaroring,Budapest,Hungary
2022,14,Belgian Grand Prix,2022-08-28,13:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2022,15,Dutch Grand Prix,2022-09-04,13:00:00Z,Circuit Park Zandvoort,Zandvoort,Netherlands
2022,16,Italian Grand Prix,2022-09-11,13:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2022,17,Singapore Grand Prix,2022-10-02,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2022,18,Japanese Grand Prix,2022-10-09,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2022,19,United States Grand Prix,2022-10-23,19:00:00Z,Circuit of the Americas,Austin,USA
2022,20,Mexico City Grand Prix,2022-10-30,20:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2022,21,São Paulo Grand Prix,2022-11-13,18:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2022,22,Abu Dhabi Grand Prix,2022-11-20,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2023,1,Bahrain Grand Prix,2023-03-05,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2023,2,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
2023,3,Australian Grand Prix,2023-04-02,05:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2023,4,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,Baku City Circuit,Baku,Azerbaijan
2023,5,Miami Grand Prix,2023-05-07,19:30:00Z,Miami International Autodrome,Miami,USA
2023,6,Monaco Grand Prix,2023-05-28,13:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2023,7,Spanish Grand Prix,2023-06-04,13:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2023,8,Canadian Grand Prix,2023-06-18,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2023,9,Austrian Grand Prix,2023-07-02,13:00:00Z,Red Bull Ring,Spielberg,Austria
2023,10,British Grand Prix,2023-07-09,14:00:00Z,Silverstone Circuit,Silverstone,UK
2023,11,Hungarian Grand Prix,2023-07-23,13:00:00Z,Hungaroring,Budapest,Hungary
2023,12,Belgian Grand Prix,2023-07-30,13:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2023,13,Dutch Grand Prix,2023-08-27,13:00:00Z,Circuit Park Zandvoort,Zandvoort,Netherlands
2023,14,Italian Grand Prix,2023-09-03,13:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2023,15,Singapore Grand Prix,2023-09-17,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2023,16,Japanese Grand Prix,2023-09-24,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2023,17,Qatar Grand Prix,2023-10-08,17:00:00Z,Losail International Circuit,Al Daayen,Qatar
2023,18,United States Grand Prix,2023-10-22,19:00:00Z,Circuit of the Americas,Austin,USA
2023,19,Mexico City Grand Prix,2023-10-29,20:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2023,20,São Paulo Grand Prix,2023-11-05,17:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2023,21,Las Vegas Grand Prix,2023-11-19,06:00:00Z,Las Vegas Strip Street Circuit,Las Vegas,United States
2023,22,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
2024,1,Bahrain Grand Prix,2024-03-02,15:00:00Z,Bahrain International Circuit,Sakhir,Bahrain
2024,2,Saudi Arabian Grand Prix,2024-03-09,17:00:00Z,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
2024,3,Australian Grand Prix,2024-03-24,04:00:00Z,Albert Park Grand Prix Circuit,Melbourne,Australia
2024,4,Japanese Grand Prix,2024-04-07,05:00:00Z,Suzuka Circuit,Suzuka,Japan
2024,5,Chinese Grand Prix,2024-04-21,07:00:00Z,Shanghai International Circuit,Shanghai,China
2024,6,Miami Grand Prix,2024-05-05,20:00:00Z,Miami International Autodrome,Miami,USA
2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00Z,Autodromo Enzo e Dino Ferrari,Imola,Italy
2024,8,Monaco Grand Prix,2024-05-26,13:00:00Z,Circuit de Monaco,Monte-Carlo,Monaco
2024,9,Canadian Grand Prix,2024-06-09,18:00:00Z,Circuit Gilles Villeneuve,Montreal,Canada
2024,10,Spanish Grand Prix,2024-06-23,13:00:00Z,Circuit de Barcelona-Catalunya,Montmeló,Spain
2024,11,Austrian Grand Prix,2024-06-30,13:00:00Z,Red Bull Ring,Spielberg,Austria
2024,12,British Grand Prix,2024-07-07,14:00:00Z,Silverstone Circuit,Silverstone,UK
2024,13,Hungarian Grand Prix,2024-07-21,13:00:00Z,Hungaroring,Budapest,Hungary
2024,14,Belgian Grand Prix,2024-07-28,13:00:00Z,Circuit de Spa-Francorchamps,Spa,Belgium
2024,15,Dutch Grand Prix,2024-08-25,13:00:00Z,Circuit Park Zandvoort,Zandvoort,Netherlands
2024,16,Italian Grand Prix,2024-09-01,13:00:00Z,Autodromo Nazionale di Monza,Monza,Italy
2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00Z,Baku City Circuit,Baku,Azerbaijan
2024,18,Singapore Grand Prix,2024-09-22,12:00:00Z,Marina Bay Street Circuit,Marina Bay,Singapore
2024,19,United States Grand Prix,2024-10-20,19:00:00Z,Circuit of the Americas,Austin,USA
2024,20,Mexico City Grand Prix,2024-10-27,20:00:00Z,Autódromo Hermanos Rodríguez,Mexico City,Mexico
2024,21,São Paulo Grand Prix,2024-11-03,17:00:00Z,Autódromo José Carlos Pace,São Paulo,Brazil
2024,22,Las Vegas Grand Prix,2024-11-23,06:00:00Z,Las Vegas Strip Street Circuit,Las Vegas,United States
2024,23,Qatar Grand Prix,2024-12-01,17:00:00Z,Losail International Circuit,Al Daayen,Qatar
2024,24,Abu Dhabi Grand Prix,2024-12-08,13:00:00Z,Yas Marina Circuit,Abu Dhabi,UAE
